E01	89.83749 0.067859 1.903759
E02	129.775409 0.133018 2.713339
E03	229.876789 0.189144 4.195083
E04	249.782785 0.206695 4.578447
E05	329.809956 0.255072 5.823753
E06	509.905008 0.445933 9.993431
E07	529.863629 0.349225 9.752435
E08	629.893024 0.371088 10.704516
E09	649.873605 0.370551 11.60877
E10	669.878666 0.425759 12.620525
E11	689.865011 0.435319 12.897608
E12	709.827356 0.515737 13.217129
E13	729.858009 0.512422 13.684011
E14	829.821956 0.584207 16.572382
E15	869.820146 0.670916 17.562235
E16	909.816003 0.680557 19.245292
E17	969.84976 0.711552 21.29483
E18	1229.892288 0.898216 31.528189
E19	1349.85609 1.032171 37.395837
E20	1369.808256 1.134233 37.75684
W01	-90.166059 -0.105054 -0.509398
W02	-110.116176 -0.19734 -0.581294
W03	-230.049533 -0.312728 -2.297398
W04	-490.109989 -0.636859 -5.770235
W05	-550.149149 -0.479491 -7.854613
W06	-590.125537 -0.46824 -7.663015
W07	-630.128252 -0.617182 -7.983764
W08	-730.026409 -0.650975 -9.50065
W09	-750.128714 -0.61077 -9.948968
W10	-770.161152 -0.592456 -9.97888
W11	-790.149469 -0.61664 -10.598212
W12	-810.172607 -0.656934 -11.286193
W13	-830.14949 -0.647339 -11.546595
W14	-930.173869 -0.676505 -12.598686
W15	-950.195789 -0.573785 -13.00365
W16	-1130.187041 -0.79943 -14.850523
W17	-1210.180942 -0.825807 -15.885226
W18	-1230.230015 -0.940209 -16.246692
W19	-1330.180162 -0.902801 -16.96551
W20	-1370.24709 -0.962454 -17.686235
